"Sol.ID"	"size"
"Solyc00g500112.1.1"	421
"Solyc00g142160.1.1"	318
"Solyc00g142170.2.1"	1408
"Solyc00g500113.1.1"	1019
"Solyc00g500114.1.1"	674
"Solyc00g500116.1.1"	488
"Solyc00g500118.1.1"	407
"Solyc00g500119.1.1"	671
"Solyc00g500120.1.1"	263
"Solyc00g500121.1.1"	998
"Solyc00g015600.1.1"	155
"Solyc00g500122.1.1"	3633
"Solyc00g160650.1.1"	1561
"Solyc00g160660.1.1"	1873
"Solyc00g160320.1.1"	1343
"Solyc00g160010.1.1"	2651
"Solyc00g160330.1.1"	773
"Solyc00g007330.1.1"	1203
"Solyc00g007340.1.1"	368
"Solyc00g007350.1.1"	1441
"Solyc00g160020.1.1"	488
"Solyc00g160340.1.1"	1298
"Solyc00g160670.1.1"	853
"Solyc00g160350.1.1"	1784
"Solyc00g500123.1.1"	2224
"Solyc00g500124.1.1"	1628
"Solyc00g500125.1.1"	3668
"Solyc00g500126.1.1"	1986
"Solyc00g500127.1.1"	1281
"Solyc00g500128.1.1"	6836
"Solyc00g500129.1.1"	776
"Solyc00g500130.1.1"	1061
"Solyc00g500131.1.1"	1529
"Solyc00g500132.1.1"	657
"Solyc00g500133.1.1"	1523
"Solyc00g500134.1.1"	1690
"Solyc00g500135.1.1"	7101
"Solyc00g160170.1.1"	3212
"Solyc00g500136.1.1"	2430
"Solyc00g500137.1.1"	517
"Solyc00g500138.1.1"	2204
"Solyc00g500139.1.1"	1991
"Solyc00g500140.1.1"	401
"Solyc00g500141.1.1"	761
"Solyc00g500142.1.1"	476
"Solyc00g500144.1.1"	441
"Solyc00g500145.1.1"	1130
"Solyc00g500147.1.1"	2890
"Solyc00g500148.1.1"	1221
"Solyc00g500149.1.1"	2103
"Solyc00g500150.1.1"	401
"Solyc00g500151.1.1"	2646
"Solyc00g500152.1.1"	428
"Solyc00g500153.1.1"	326
"Solyc00g500154.1.1"	355
"Solyc00g500155.1.1"	368
"Solyc00g500156.1.1"	416
"Solyc00g500157.1.1"	799
"Solyc00g500158.1.1"	524
"Solyc00g500159.1.1"	3809
"Solyc00g500161.1.1"	31889
"Solyc00g500162.1.1"	460
"Solyc00g500163.1.1"	27744
"Solyc00g160360.1.1"	1557
"Solyc00g500164.1.1"	14459
"Solyc00g500165.1.1"	695
"Solyc00g112190.2.1"	1309
"Solyc00g160030.1.1"	2853
"Solyc00g500166.1.1"	1135
"Solyc00g500167.1.1"	1839
"Solyc00g230080.1.1"	356
"Solyc00g316530.1.1"	236
"Solyc00g069880.2.1"	3436
"Solyc00g500168.1.1"	839
"Solyc00g013100.1.1"	236
"Solyc00g013110.1.1"	266
"Solyc00g126010.1.1"	173
"Solyc00g126000.1.1"	152
"Solyc00g125990.1.1"	644
"Solyc00g125980.1.1"	203
"Solyc00g244300.1.1"	257
"Solyc00g244290.1.1"	491
"Solyc00g244280.1.1"	182
"Solyc00g160370.1.1"	2098
"Solyc00g500169.1.1"	1851
"Solyc00g500170.1.1"	907
"Solyc00g160380.1.1"	1486
"Solyc00g013170.1.1"	209
"Solyc00g013180.1.1"	1346
"Solyc00g160180.1.1"	654
"Solyc00g500171.1.1"	515
"Solyc00g500172.1.1"	557
"Solyc00g320430.1.1"	179
"Solyc00g500173.1.1"	694
"Solyc00g019730.2.1"	797
"Solyc00g500174.1.1"	28753
"Solyc00g500176.1.1"	1556
"Solyc00g500177.1.1"	3774
"Solyc00g500178.1.1"	1315
"Solyc00g500179.1.1"	78698
"Solyc00g500180.1.1"	13648
"Solyc00g500181.1.1"	2059
"Solyc00g160410.1.1"	535
"Solyc00g118690.1.1"	260
"Solyc00g160400.1.1"	1900
"Solyc00g023590.2.1"	2699
"Solyc00g023580.1.1"	257
"Solyc00g023570.1.1"	329
"Solyc00g014860.1.1"	309
"Solyc00g014850.1.1"	311
"Solyc00g500183.1.1"	1931
"Solyc00g500184.1.1"	1177
"Solyc00g500185.1.1"	1542
"Solyc00g014810.1.1"	164
"Solyc00g014800.1.1"	491
"Solyc00g014790.2.1"	2515
"Solyc00g094550.1.1"	233
"Solyc00g094540.1.1"	329
"Solyc00g094530.1.1"	389
"Solyc00g094520.1.1"	185
"Solyc00g023700.2.1"	973
"Solyc00g023710.1.1"	701
"Solyc00g049210.1.1"	1769
"Solyc00g049220.1.1"	206
"Solyc00g500186.1.1"	1496
"Solyc00g500187.1.1"	2278
"Solyc00g500188.1.1"	515
"Solyc00g500189.1.1"	557
"Solyc00g160390.1.1"	3816
"Solyc00g021660.1.1"	1319
"Solyc00g500190.1.1"	2966
"Solyc00g500191.2.1"	4862
"Solyc00g500192.1.1"	1629
"Solyc00g500193.1.1"	2224
"Solyc00g160420.1.1"	1784
"Solyc00g500194.1.1"	853
"Solyc00g500195.1.1"	2440
"Solyc00g500196.2.1"	6075
"Solyc00g500197.1.1"	1281
"Solyc00g500198.1.1"	6836
"Solyc00g500199.1.1"	776
"Solyc00g500200.1.1"	1061
"Solyc00g500201.1.1"	1529
"Solyc00g500202.1.1"	657
"Solyc00g500203.1.1"	1523
"Solyc00g500204.1.1"	1690
"Solyc00g500205.1.1"	7101
"Solyc00g160190.1.1"	3212
"Solyc00g500206.1.1"	2430
"Solyc00g500207.1.1"	517
"Solyc00g500208.1.1"	2204
"Solyc00g500209.1.1"	2252
"Solyc00g500210.1.1"	1130
"Solyc00g500211.1.1"	443
"Solyc00g500213.1.1"	621
"Solyc00g500214.1.1"	2155
"Solyc00g322630.1.1"	296
"Solyc00g500215.1.1"	4605
"Solyc00g500216.2.1"	2809
"Solyc00g500218.1.1"	2903
"Solyc00g266110.1.1"	296
"Solyc00g254910.1.1"	785
"Solyc00g500219.1.1"	1156
"Solyc00g500220.1.1"	4881
"Solyc00g500222.2.1"	1690
"Solyc03g042528.2.1"	3134
"Solyc03g042550.2.1"	3182
"Solyc00g160680.1.1"	1873
"Solyc00g160450.1.1"	918
"Solyc00g160430.1.1"	1333
"Solyc00g198360.1.1"	869
"Solyc00g160440.1.1"	5435
"Solyc00g036520.1.1"	557
"Solyc00g052540.1.1"	671
"Solyc00g052530.2.1"	1201
"Solyc00g500224.1.1"	2264
"Solyc00g047180.1.1"	257
"Solyc00g047190.1.1"	317
"Solyc00g047200.1.1"	233
"Solyc00g160040.1.1"	461
"Solyc00g500225.1.1"	596
"Solyc00g500226.1.1"	2347
"Solyc00g500227.1.1"	2059
"Solyc00g500228.1.1"	3747
"Solyc00g500229.1.1"	162
"Solyc00g500230.1.1"	5671
"Solyc00g160050.1.1"	668
"Solyc00g160200.1.1"	719
"Solyc00g500232.1.1"	837
"Solyc00g160470.1.1"	287
"Solyc00g160460.1.1"	1254
"Solyc00g500233.1.1"	5369
"Solyc00g500235.1.1"	6074
"Solyc00g500236.1.1"	27351
"Solyc00g500237.1.1"	838
"Solyc00g230070.1.1"	263
"Solyc00g025300.1.1"	161
"Solyc00g025290.1.1"	485
"Solyc00g500238.1.1"	586
"Solyc00g020040.1.1"	620
"Solyc00g020030.1.1"	200
"Solyc00g020020.2.1"	1083
"Solyc00g020010.1.1"	227
"Solyc00g020000.1.1"	173
"Solyc00g019990.1.1"	215
"Solyc00g019980.3.1"	1266
"Solyc00g019970.2.1"	991
"Solyc00g019950.2.1"	509
"Solyc00g160060.1.1"	749
"Solyc00g500239.1.1"	704
"Solyc00g500240.1.1"	1182
"Solyc00g500241.1.1"	2265
"Solyc00g036530.1.1"	155
"Solyc00g500242.1.1"	752
"Solyc00g500244.1.1"	407
"Solyc00g500245.1.1"	3465
"Solyc00g500246.1.1"	7098
"Solyc00g007450.1.1"	869
"Solyc00g160490.1.1"	1095
"Solyc00g160690.1.1"	1059
"Solyc00g160480.1.1"	1343
"Solyc00g016590.1.1"	1268
"Solyc00g160210.1.1"	1640
"Solyc00g028960.1.1"	311
"Solyc00g500247.1.1"	1942
"Solyc00g500248.1.1"	6632
"Solyc00g500249.1.1"	1919
"Solyc00g500250.1.1"	3150
"Solyc00g500251.1.1"	2278
"Solyc00g500252.1.1"	515
"Solyc00g500253.1.1"	557
"Solyc00g160500.1.1"	3816
"Solyc00g021650.1.1"	230
"Solyc00g021640.2.1"	2187
"Solyc00g021630.1.1"	653
"Solyc00g500254.1.1"	439
"Solyc00g181240.1.1"	179
"Solyc00g181250.2.1"	844
"Solyc00g500255.1.1"	479
"Solyc00g500256.1.1"	2139
"Solyc11g056270.3.1"	1976
"Solyc11g056320.2.1"	351
"Solyc00g160510.1.1"	2346
"Solyc00g160520.1.1"	464
"Solyc00g500258.1.1"	750
"Solyc00g160700.1.1"	1412
"Solyc00g160220.1.1"	345
"Solyc00g500259.1.1"	12324
"Solyc00g500260.1.1"	7417
"Solyc00g160070.1.1"	461
"Solyc00g160530.1.1"	503
"Solyc00g500262.1.1"	2347
"Solyc00g500263.1.1"	1863
"Solyc00g160710.1.1"	16365
"Solyc00g500264.1.1"	45478
"Solyc00g500265.1.1"	381
"Solyc00g500266.1.1"	7580
"Solyc00g500267.1.1"	7668
"Solyc00g500269.1.1"	17275
"Solyc00g500270.1.1"	2024
"Solyc00g500271.1.1"	1082
"Solyc00g500272.1.1"	488
"Solyc00g500275.1.1"	407
"Solyc00g500276.1.1"	671
"Solyc00g500277.1.1"	752
"Solyc00g052430.3.1"	2361
"Solyc00g500278.1.1"	1986
"Solyc00g500279.1.1"	832
"Solyc00g500280.1.1"	1181
"Solyc00g500282.1.1"	31360
"Solyc00g160080.1.1"	449
"Solyc00g160230.1.1"	2001
"Solyc00g160720.1.1"	320
"Solyc00g160090.1.1"	434
"Solyc00g160540.1.1"	3237
"Solyc00g500284.1.1"	1364
"Solyc00g500285.1.1"	983
"Solyc00g500286.1.1"	785
"Solyc00g500287.1.1"	2995
"Solyc00g500288.1.1"	4583
"Solyc00g500289.1.1"	4187
"Solyc00g500290.2.1"	7366
"Solyc00g500291.1.1"	1690
"Solyc00g500292.1.1"	1523
"Solyc00g500293.1.1"	657
"Solyc00g500294.1.1"	6094
"Solyc00g500295.1.1"	1529
"Solyc00g500296.1.1"	1061
"Solyc00g500297.1.1"	428
"Solyc00g500298.1.1"	401
"Solyc00g500299.1.1"	6044
"Solyc00g500300.1.1"	1281
"Solyc00g500301.1.1"	1418
"Solyc00g500302.1.1"	694
"Solyc00g500303.1.1"	797
"Solyc00g500304.1.1"	707
"Solyc00g500305.1.1"	11167
"Solyc00g500306.1.1"	5760
"Solyc00g500307.1.1"	942
"Solyc00g500308.1.1"	6109
"Solyc00g171810.4.1"	458
"Solyc00g500310.1.1"	407
"Solyc00g500311.2.1"	752
"Solyc00g500312.1.1"	4211
"Solyc00g160100.1.1"	461
"Solyc00g160560.1.1"	503
"Solyc00g500261.2.1"	355
"Solyc06g030645.2.1"	1788
"Solyc00g160550.1.1"	1655
"Solyc00g500313.1.1"	185
"Solyc00g500314.1.1"	899
"Solyc00g500315.1.1"	690
"Solyc00g500316.1.1"	1734
"Solyc00g160570.1.1"	2098
"Solyc00g500317.1.1"	1082
"Solyc00g500318.1.1"	488
"Solyc00g012540.1.1"	1731
"Solyc00g500319.1.1"	5401
"Solyc00g500320.1.1"	1690
"Solyc00g500321.1.1"	401
"Solyc00g500322.1.1"	1240
"Solyc00g500323.1.1"	1618
"Solyc00g500324.1.1"	3555
"Solyc00g500325.1.1"	1418
"Solyc00g500326.1.1"	1281
"Solyc00g500327.1.1"	6836
"Solyc00g500328.1.1"	776
"Solyc00g500329.1.1"	1061
"Solyc00g500330.1.1"	1529
"Solyc00g500331.1.1"	657
"Solyc00g500332.1.1"	1617
"Solyc00g500333.1.1"	1239
"Solyc00g500334.1.1"	401
"Solyc00g500335.1.1"	744
"Solyc00g160110.1.1"	674
"Solyc00g500338.1.1"	1951
"Solyc00g160730.1.1"	2120
"Solyc00g500339.1.1"	9772
"Solyc00g500340.1.1"	586
"Solyc00g500341.1.1"	880
"Solyc00g500342.1.1"	908
"Solyc00g500343.1.1"	443
"Solyc00g500344.1.1"	278
"Solyc00g500345.1.1"	3466
"Solyc00g500346.1.1"	839
"Solyc00g500347.1.1"	467
"Solyc00g160120.1.1"	5046
"Solyc00g500348.1.1"	1919
"Solyc00g500349.1.1"	1496
"Solyc00g500350.1.1"	2059
"Solyc00g500351.1.1"	4673
"Solyc00g032030.2.1"	3152
"Solyc00g500353.1.1"	2640
"Solyc00g076250.1.1"	802
"Solyc00g160740.1.1"	370
"Solyc00g160580.1.1"	1158
"Solyc00g160750.1.1"	8036
"Solyc00g500355.1.1"	5906
"Solyc00g500356.1.1"	14575
"Solyc00g500357.1.1"	839
"Solyc00g500358.1.1"	1535
"Solyc00g500359.1.1"	407
"Solyc00g500360.1.1"	671
"Solyc00g500361.1.1"	1039
"Solyc11g056510.2.1"	461
"Solyc00g500362.1.1"	1376
"Solyc00g500363.1.1"	307
"Solyc00g500364.1.1"	1181
"Solyc00g160240.1.1"	2722
"Solyc00g160130.1.1"	1499
"Solyc00g160590.1.1"	2046
"Solyc00g308530.1.1"	1387
"Solyc00g160610.1.1"	1195
"Solyc00g284510.1.1"	1585
"Solyc00g160600.1.1"	1095
"Solyc00g500365.1.1"	18125
"Solyc00g160620.1.1"	592
"Solyc00g500366.1.1"	3663
"Solyc00g500367.1.1"	5422
"Solyc00g500368.1.1"	4746
"Solyc00g500369.1.1"	8113
"Solyc00g500370.1.1"	917
"Solyc00g500371.1.1"	912
"Solyc00g500372.1.1"	1115
"Solyc00g500373.1.1"	2062
"Solyc00g500374.1.1"	4385
"Solyc00g500375.1.1"	9045
"Solyc00g160140.1.1"	2001
"Solyc00g160760.1.1"	320
"Solyc00g160150.1.1"	476
"Solyc00g500376.1.1"	3786
"Solyc00g160250.1.1"	1344
"Solyc00g500379.1.1"	14552
"Solyc00g500380.1.1"	200
"Solyc00g500381.1.1"	23878
"Solyc00g500382.1.1"	12334
"Solyc00g500383.1.1"	479
"Solyc00g500384.1.1"	24694
"Solyc00g500385.1.1"	7643
"Solyc00g500386.1.1"	994
"Solyc00g500387.1.1"	843
"Solyc00g500388.1.1"	964
"Solyc00g500389.1.1"	1220
"Solyc00g500390.1.1"	580
"Solyc00g500391.1.1"	472
"Solyc00g500392.1.1"	622
"Solyc00g500393.1.1"	281
"Solyc00g500394.1.1"	6593
"Solyc00g500395.1.1"	11175
"Solyc00g500396.1.1"	4375
"Solyc00g500397.1.1"	4643
"Solyc00g500398.1.1"	19852
"Solyc00g500399.1.1"	405
"Solyc00g500400.1.1"	371
"Solyc00g500401.1.1"	423
"Solyc00g500402.1.1"	478
"Solyc00g500403.1.1"	449
"Solyc00g007920.1.1"	496
"Solyc00g007940.1.1"	1383
"Solyc00g007930.1.1"	589
"Solyc00g500404.1.1"	10417
"Solyc00g500405.1.1"	617
"Solyc00g500406.1.1"	2528
"Solyc00g500407.1.1"	4867
"Solyc00g160780.1.1"	19057
"Solyc00g160770.1.1"	21389
"Solyc00g500408.1.1"	2212
"Solyc01g004000.1.1"	464
"Solyc01g004002.1.1"	9329
"Solyc01g004004.1.1"	13982
"Solyc01g004006.1.1"	1786
"Solyc01g004008.1.1"	2634
"Solyc01g005000.3.1"	2225
"Solyc01g005010.5.1"	3005
"Solyc01g005020.3.1"	13404
"Solyc01g005030.4.1"	8222
"Solyc01g005040.3.1"	1080
"Solyc01g005050.4.1"	994
"Solyc01g005060.3.1"	2370
"Solyc01g005070.3.1"	1525
"Solyc01g005080.3.1"	5885
"Solyc01g005090.3.1"	3694
"Solyc01g005100.4.1"	5565
"Solyc01g005110.3.1"	3858
"Solyc01g005120.3.1"	3224
"Solyc01g005130.3.1"	1221
"Solyc01g005140.3.1"	2121
"Solyc01g005150.3.1"	2343
"Solyc01g005160.5.1"	1280
"Solyc01g005170.3.1"	1488
"Solyc01g005210.4.1"	25546
"Solyc01g005180.1.1"	275
"Solyc01g005220.3.1"	7073
"Solyc01g005230.5.1"	1996
"Solyc01g005240.4.1"	6115
"Solyc01g005250.5.1"	3946
"Solyc01g005253.1.1"	3175
"Solyc01g005257.1.1"	3466
"Solyc01g005280.3.1"	2783
"Solyc01g005290.4.1"	2664
"Solyc01g005310.3.1"	5325
"Solyc01g005320.2.1"	2213
"Solyc01g005330.3.1"	4787
"Solyc01g005340.3.1"	4666
"Solyc01g005350.4.1"	7646
"Solyc01g005370.3.1"	926
"Solyc01g005385.2.1"	2451
"Solyc01g005380.4.1"	1564
"Solyc01g005390.3.1"	1933
"Solyc01g005400.3.1"	3582
"Solyc01g005410.5.1"	3409
"Solyc01g005420.2.1"	826
"Solyc01g005430.3.1"	4901
"Solyc01g005440.4.1"	3525
"Solyc01g005450.3.1"	2691
"Solyc01g005460.4.1"	2938
"Solyc01g005470.3.1"	2303
"Solyc01g005480.3.1"	3908
"Solyc01g005490.3.1"	2626
"Solyc01g005500.3.1"	1751
"Solyc01g005510.3.1"	2167
"Solyc01g005520.4.1"	2762
"Solyc01g005530.3.1"	1220
"Solyc01g005540.5.1"	10744
"Solyc01g160070.1.1"	500
"Solyc01g005550.3.1"	3145
"Solyc01g005560.3.1"	4933
"Solyc01g005570.4.1"	2264
"Solyc01g005580.2.1"	2034
"Solyc01g005590.2.1"	422
"Solyc01g005600.4.1"	6153
"Solyc01g005610.4.1"	2739
"Solyc01g005620.3.1"	4578
"Solyc01g005630.3.1"	704
"Solyc01g005640.4.1"	6996
"Solyc01g005650.3.1"	1598
"Solyc01g005660.3.1"	1896
"Solyc01g005670.3.1"	2629
"Solyc01g005680.4.1"	4825
"Solyc01g005690.4.1"	2277
"Solyc01g005710.2.1"	603
"Solyc01g005730.3.1"	2873
"Solyc01g005750.1.1"	327
"Solyc01g005760.3.1"	2906
"Solyc01g005770.3.1"	335
"Solyc01g150100.1.1"	405
"Solyc01g005780.1.1"	2306
"Solyc01g005783.1.1"	264
"Solyc01g005787.1.1"	409
"Solyc01g005790.1.1"	1376
"Solyc01g005800.3.1"	2699
"Solyc01g005810.3.1"	4420
"Solyc01g005820.4.1"	4241
"Solyc01g005830.4.1"	5708
"Solyc01g005840.3.1"	3033
"Solyc01g005850.3.1"	1715
"Solyc01g005860.2.1"	2914
"Solyc01g005870.4.1"	3250
"Solyc01g005880.1.1"	1043
"Solyc01g005890.1.1"	916
"Solyc01g005900.3.1"	3965
"Solyc01g005910.3.1"	3941
"Solyc01g005920.3.1"	1717
"Solyc01g005930.3.1"	4044
"Solyc01g005940.4.1"	3229
"Solyc01g005950.4.1"	7320
"Solyc01g005960.3.1"	7413
"Solyc01g005970.3.1"	5410
"Solyc01g005980.4.1"	2089
"Solyc01g005985.2.1"	1972
"Solyc01g006000.3.1"	6494
"Solyc01g006010.3.1"	7800
"Solyc01g006040.3.1"	13943
"Solyc01g006050.2.1"	1393
"Solyc01g006055.1.1"	663
"Solyc01g006070.3.1"	1441
"Solyc01g006080.2.1"	3200
"Solyc01g006090.3.1"	1436
"Solyc01g006100.4.1"	8088
"Solyc01g006110.3.1"	5795
"Solyc01g006120.4.1"	8370
"Solyc01g006140.4.1"	4507
"Solyc01g006150.3.1"	5092
"Solyc01g006160.3.1"	2266
"Solyc01g006170.5.1"	1237
"Solyc01g006180.4.1"	5841
"Solyc01g006190.3.1"	4915
"Solyc01g006200.3.1"	3013
"Solyc01g006210.4.1"	4281
"Solyc01g006220.3.1"	11296
"Solyc01g006230.3.1"	6107
"Solyc01g006240.3.1"	1029
"Solyc01g006250.2.1"	2561
"Solyc01g006260.4.1"	1275
"Solyc01g006270.2.1"	713
"Solyc01g006280.3.1"	6879
"Solyc01g006300.3.1"	2856
"Solyc01g006310.3.1"	3227
"Solyc01g006320.4.1"	797
"Solyc01g006330.5.1"	4290
"Solyc01g006340.3.1"	3593
"Solyc01g006350.4.1"	17966
"Solyc01g006360.4.1"	26921
"Solyc01g006370.3.1"	22385
"Solyc01g006380.2.1"	1567
"Solyc01g006390.2.1"	1338
"Solyc01g006400.4.1"	1759
"Solyc01g006410.4.1"	749
"Solyc01g006420.3.1"	485
"Solyc01g006430.3.1"	1721
"Solyc01g006440.2.1"	5465
"Solyc01g006460.3.1"	3071
"Solyc01g006480.3.1"	4148
"Solyc01g006500.5.1"	3787
"Solyc01g006510.3.1"	4330
"Solyc01g006520.3.1"	3328
"Solyc01g006530.1.1"	2417
"Solyc01g006540.4.1"	10138
"Solyc01g006550.4.1"	3926
"Solyc01g006555.2.1"	11024
"Solyc01g006580.4.1"	48314
"Solyc01g006585.2.1"	1951
"Solyc01g006590.3.1"	2256
"Solyc01g006600.3.1"	6616
"Solyc01g006610.2.1"	3065
"Solyc01g006620.3.1"	2350
"Solyc01g006630.3.1"	7292
"Solyc01g006640.1.1"	8713
"Solyc01g006650.2.1"	3316
"Solyc01g006660.4.1"	4515
"Solyc01g006670.2.1"	1638
"Solyc01g006680.4.1"	4307
"Solyc01g006700.3.1"	8012
"Solyc01g006710.4.1"	14314
"Solyc01g006720.4.1"	7827
"Solyc01g006740.4.1"	4382
"Solyc01g006750.2.1"	521
"Solyc01g006760.3.1"	1219
"Solyc01g006770.2.1"	3281
"Solyc01g006780.4.1"	623
"Solyc01g006800.4.1"	6754
"Solyc01g006810.4.1"	4974
"Solyc01g006820.2.1"	762
"Solyc01g006830.3.1"	2949
"Solyc01g006840.3.1"	3507
"Solyc01g006845.1.1"	1393
"Solyc01g006850.1.1"	3293
"Solyc01g006860.3.1"	4216
"Solyc01g006870.4.1"	8120
"Solyc01g006880.4.1"	14649
"Solyc01g006890.3.1"	5383
"Solyc01g006900.3.1"	5487
"Solyc01g006910.4.1"	752
"Solyc01g006920.4.1"	2864
"Solyc01g006930.3.1"	5459
"Solyc01g006940.5.1"	3013
"Solyc01g006950.3.1"	2221
"Solyc01g006960.3.1"	19397
"Solyc01g006970.4.1"	9552
"Solyc01g006980.4.1"	3838
"Solyc01g006990.4.1"	2128
"Solyc01g006993.2.1"	1006
"Solyc01g006997.2.1"	941
"Solyc01g007010.2.1"	1359
"Solyc01g007030.3.1"	838
"Solyc01g007040.4.1"	680
"Solyc01g007050.4.1"	1688
"Solyc01g007060.3.1"	5215
"Solyc01g007070.3.1"	3470
"Solyc01g007080.3.1"	5128
"Solyc01g007090.1.1"	4539
"Solyc01g007100.3.1"	4688
"Solyc01g007110.3.1"	3339
"Solyc01g007120.3.1"	5099
"Solyc01g007130.3.1"	3672
"Solyc01g007140.3.1"	19172
"Solyc01g007150.3.1"	9880
"Solyc01g007160.5.1"	5539
"Solyc01g007170.4.1"	3086
"Solyc01g007180.3.1"	3919
"Solyc01g007200.2.1"	3648
"Solyc01g007210.3.1"	1978
"Solyc01g007220.5.1"	365
"Solyc01g007240.3.1"	684
"Solyc01g007250.5.1"	4532
"Solyc01g007260.3.1"	3623
"Solyc01g007267.1.1"	2209
"Solyc01g007750.3.1"	1367
"Solyc01g007760.3.1"	5409
"Solyc01g007770.2.1"	726
"Solyc01g007780.4.1"	4718
"Solyc01g007790.4.1"	9540
"Solyc01g007800.3.1"	892
"Solyc01g007810.1.1"	896
"Solyc01g007830.2.1"	423
"Solyc01g007840.3.1"	1046
"Solyc01g007850.2.1"	3137
"Solyc01g007860.3.1"	4189
"Solyc01g007870.3.1"	794
"Solyc01g007880.4.1"	13621
"Solyc01g007890.3.1"	1569
"Solyc01g150101.2.1"	4976
